Station name,Description,x [km],y [km],z [km]
body-090st000dp000,"−9.0 km off fault (near side), 0.0 km along strike, 0 km depth.",0.0,-9.0,0.0
body-090st100dp000,"−9.0 km off fault (near side), 10.0 km along strike, 0 km depth.",10.0,-9.0,0.0
body-090st200dp000,"−9.0 km off fault (near side), 20.0 km along strike, 0 km depth.",20.0,-9.0,0.0
body-030st000dp000,"−3.0 km off fault (near side), 0.0 km along strike, 0 km depth.",0.0,-3.0,0.0
body-010st000dp000,"−1.0 km off fault (near side), 0.0 km along strike, 0 km depth.",0.0,-1.0,0.0
body-010st100dp000,"−1.0 km off fault (near side), 10.0 km along strike, 0 km depth.",10.0,-1.0,0.0
body010st000dp000,"1.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,1.0,0.0
body010st010dp000,"1.0 km off fault (far side), 10.0 km along strike, 0 km depth.",10.0,1.0,0.0
body030st000dp000,"3.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,3.0,0.0
body090st000dp000,"9.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,9.0,0.0
body090st100dp000,"9.0 km off fault (far side), 10.0 km along strike, 0 km depth.",10.0,9.0,0.0
body090st200dp000,"9.0 km off fault (far side), 20.0 km along strike, 0 km depth.",20.0,9.0,0.0
body150st000dp000,"15.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,15.0,0.0
body210st000dp000,"21.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,21.0,0.0
body270st000dp000,"27.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,27.0,0.0
body270st100dp000,"27.0 km off fault (far side), 10.0 km along strike, 0 km depth.",10.0,27.0,0.0
body270st200dp000,"27.0 km off fault (far side), 20.0 km along strike, 0 km depth.",20.0,27.0,0.0
body330st000dp000,"33.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,33.0,0.0
body390st000dp000,"39.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,39.0,0.0
body450st000dp000,"45.0 km off fault (far side), 0.0 km along strike, 0 km depth.",0.0,45.0,0.0
body450st100dp000,"45.0 km off fault (far side), 10.0 km along strike, 0 km depth.",10.0,45.0,0.0
body450st200dp000,"45.0 km off fault (far side), 20.0 km along strike, 0 km depth.",20.0,45.0,0.0
